Regd No #,T,P,A,(%),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1210315702,19,12,7,63,A:1,P:1,A:1,A:1,,A:1,,A:1,P:1,A:1,P:1,,P:1,A:1,,P:1,A:1,P:1,,P:1,,,P:1,,,,P:1,,P:1,P:1,P:1
1210315703,19,13,6,68,P:1,P:1,P:1,A:1,,A:1,,A:1,A:1,P:1,P:1,,P:1,A:1,,P:1,P:1,P:1,,A:1,,,A:1,,,,P:1,,P:1,P:1,P:1
1210315704,19,16,3,84,P:1,P:1,P:1,A:1,,A:1,,P:1,P:1,P:1,P:1,,P:1,A:1,,P:1,P:1,P:1,,P:1,,,A:1,,,,P:1,,P:1,P:1,P:1
1210315705,19,17,2,89,P:1,P:1,P:1,A:1,,P:1,,P:1,P:1,P:1,P:1,,A:1,A:1,,P:1,P:1,P:1,,P:1,,,P:1,,,,P:1,,P:1,P:1,P:1
1210315706,19,14,5,73,A:1,P:1,P:1,A:1,,A:1,,A:1,P:1,P:1,P:1,,P:1,A:1,,A:1,P:1,P:1,,P:1,,,P:1,,,,P:1,,P:1,P:1,P:1
1210315707,19,16,3,84,P:1,P:1,P:1,A:1,,A:1,,P:1,P:1,P:1,P:1,,P:1,A:1,,P:1,P:1,P:1,,P:1,,,A:1,,,,P:1,,P:1,P:1,P:1
1210315708,19,14,5,73,P:1,P:1,P:1,A:1,,P:1,,P:1,P:1,P:1,P:1,,P:1,A:1,,P:1,A:1,P:1,,P:1,,,A:1,,,,A:1,,A:1,P:1,P:1
1210315709,19,12,7,63,A:1,P:1,P:1,A:1,,P:1,,P:1,P:1,P:1,P:1,,P:1,A:1,,A:1,A:1,P:1,,P:1,,,P:1,,,,A:1,,A:1,A:1,P:1
1210315710,19,17,2,89,P:1,P:1,P:1,P:1,,A:1,,P:1,P:1,P:1,P:1,,P:1,A:1,,P:1,P:1,P:1,,P:1,,,P:1,,,,P:1,,P:1,P:1,A:1
1210315711,19,13,6,68,P:1,A:1,P:1,A:1,,A:1,,A:1,P:1,P:1,P:1,,P:1,A:1,,P:1,A:1,P:1,,P:1,,,A:1,,,,P:1,,P:1,P:1,P:1
1210315712,19,12,7,63,P:1,P:1,P:1,A:1,,A:1,,P:1,A:1,P:1,P:1,,A:1,A:1,,A:1,A:1,P:1,,P:1,,,A:1,,,,P:1,,P:1,P:1,P:1
1210315713,19,9,10,47,P:1,A:1,A:1,A:1,,P:1,,A:1,A:1,A:1,P:1,,P:1,A:1,,A:1,A:1,P:1,,A:1,,,P:1,,,,P:1,,P:1,A:1,P:1
1210315714,19,15,4,78,P:1,P:1,P:1,A:1,,A:1,,P:1,A:1,P:1,P:1,,P:1,A:1,,P:1,P:1,P:1,,P:1,,,A:1,,,,P:1,,P:1,P:1,P:1
1210315715,19,9,10,47,A:1,A:1,A:1,A:1,,A:1,,A:1,P:1,P:1,P:1,,A:1,A:1,,A:1,A:1,P:1,,P:1,,,A:1,,,,P:1,,P:1,P:1,P:1
1210315716,19,14,5,73,A:1,P:1,P:1,P:1,,P:1,,P:1,P:1,A:1,P:1,,P:1,A:1,,P:1,A:1,P:1,,P:1,,,P:1,,,,P:1,,P:1,A:1,A:1
1210315717,19,6,13,31,A:1,P:1,A:1,A:1,,A:1,,A:1,A:1,P:1,P:1,,A:1,A:1,,A:1,A:1,P:1,,P:1,,,A:1,,,,A:1,,A:1,A:1,P:1
1210315718,19,7,12,36,A:1,A:1,A:1,A:1,,A:1,,A:1,A:1,P:1,P:1,,A:1,A:1,,A:1,P:1,P:1,,P:1,,,A:1,,,,A:1,,A:1,P:1,P:1
1210315719,19,7,12,36,A:1,P:1,P:1,A:1,,A:1,,A:1,A:1,A:1,P:1,,A:1,A:1,,A:1,A:1,P:1,,P:1,,,A:1,,,,A:1,,P:1,P:1,A:1
1210315720,19,11,8,57,P:1,P:1,P:1,A:1,,P:1,,A:1,P:1,P:1,P:1,,A:1,A:1,,P:1,A:1,P:1,,P:1,,,A:1,,,,A:1,,A:1,A:1,P:1
1210315721,19,12,7,63,P:1,A:1,A:1,P:1,,A:1,,A:1,A:1,A:1,P:1,,P:1,A:1,,P:1,P:1,P:1,,P:1,,,P:1,,,,P:1,,P:1,A:1,P:1
1210315722,19,14,5,73,A:1,P:1,P:1,P:1,,P:1,,P:1,P:1,A:1,P:1,,P:1,A:1,,P:1,A:1,P:1,,A:1,,,P:1,,,,P:1,,P:1,P:1,A:1
1210315723,19,8,11,42,P:1,A:1,P:1,A:1,,A:1,,A:1,A:1,P:1,P:1,,A:1,A:1,,P:1,A:1,P:1,,P:1,,,A:1,,,,A:1,,A:1,A:1,P:1
1210315724,19,13,6,68,P:1,P:1,P:1,P:1,,A:1,,A:1,A:1,P:1,P:1,,P:1,A:1,,A:1,A:1,P:1,,P:1,,,A:1,,,,P:1,,P:1,P:1,P:1
1210315725,19,8,11,42,A:1,A:1,A:1,A:1,,P:1,,A:1,A:1,A:1,P:1,,A:1,A:1,,A:1,A:1,P:1,,P:1,,,A:1,,,,P:1,,P:1,P:1,P:1
1210315726,19,12,7,63,A:1,P:1,A:1,A:1,,A:1,,P:1,P:1,P:1,P:1,,P:1,A:1,,P:1,A:1,P:1,,P:1,,,P:1,,,,A:1,,A:1,P:1,P:1
1210315727,19,8,11,42,A:1,P:1,P:1,A:1,,A:1,,A:1,A:1,A:1,P:1,,P:1,A:1,,A:1,A:1,P:1,,P:1,,,A:1,,,,A:1,,P:1,P:1,A:1
1210315728,19,10,9,52,P:1,P:1,P:1,A:1,,A:1,,A:1,A:1,A:1,P:1,,A:1,A:1,,P:1,P:1,P:1,,P:1,,,A:1,,,,A:1,,A:1,P:1,P:1
1210315729,19,13,6,68,P:1,P:1,A:1,A:1,,A:1,,P:1,A:1,P:1,P:1,,P:1,A:1,,P:1,A:1,P:1,,P:1,,,A:1,,,,P:1,,P:1,P:1,P:1
